model,axis,motor,controller,reference,hz,inertia_scale,gravity_ff_scale,nominal_inertia_kg_m2,plant_inertia_kg_m2,required_peak_nm,available_wire_nm,status,reason,samples,evaluation_samples,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,peak_request_nm,peak_wire_nm,peak_actuator_nm,saturation_ratio,adapter_clamp_ratio,wire_total_variation_nm,wire_total_variation_nm_per_s,min_angle_rad,max_angle_rad,final_error_rad,joint_min_rad,joint_max_rad,gravity_sin_nm,gravity_cos_nm
rmoss_rmua19,yaw,GM6020,linear,sine,1000,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,6000,5000,0.00176030239,0.00185568719,0.0049978086,0.00324687956,0.163791671,0.163767151,0.156201291,0,0,4.35143024,0.725238373,-0.103045287,0.10020212,-0.00134948934,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,1000,2,0.8,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,6000,5000,0.00176030239,0.00185568719,0.0049978086,0.00324687956,0.163791671,0.163767151,0.156201291,0,0,4.35143024,0.725238373,-0.103045287,0.10020212,-0.00134948934,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,6000,5000,0.000845002388,0.000847310927,0.00445946995,0.00152691875,0.192711353,0.192667236,0.179967113,0,0,6.80047504,1.13341251,-0.101282139,0.100104062,-0.000429831766,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,1000,2,0.8,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,6000,5000,0.000845002388,0.000847310927,0.00445946995,0.00152691875,0.192711353,0.192667236,0.179967113,0,0,6.80047504,1.13341251,-0.101282139,0.100104062,-0.000429831766,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00331290734,0.0020442834,0.03,0.00367947382,0.158335164,0.158339905,0.13757522,0,0,128.960186,21.4933644,-0.00367960804,0.03,-0.00114287888,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00331290734,0.0020442834,0.03,0.00367947382,0.158335164,0.158339905,0.13757522,0,0,128.960186,21.4933644,-0.00367960804,0.03,-0.00114287888,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00253705663,0.00131012634,0.03,0.00239430939,0.189411059,0.189410889,0.162373281,0,0,148.937744,24.8229573,-0.00239430939,0.03,-0.00127288723,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00253705663,0.00131012634,0.03,0.00239430939,0.189411059,0.189410889,0.162373281,0,0,148.937744,24.8229573,-0.00239430939,0.03,-0.00127288723,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,12000,10000,0.00192037584,0.00208944573,0.00399655172,0.00399655172,0.16377154,0.163767151,0.145134631,0,0,129.12124,21.5202067,-0.103055926,0.100051678,-0.00117957965,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,12000,10000,0.00192037584,0.00208944573,0.00399655172,0.00399655172,0.16377154,0.163767151,0.145134631,0,0,129.12124,21.5202067,-0.103055926,0.100051678,-0.00117957965,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,2000,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,12000,10000,0.00122114088,0.00131842429,0.00251433112,0.00251433112,0.192655191,0.192667236,0.164496366,0,0,148.830148,24.8050247,-0.101976601,0.100314571,-0.00123056661,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,2000,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,12000,10000,0.00122114088,0.00131842429,0.00251433112,0.00251433112,0.192655191,0.192667236,0.164496366,0,0,148.830148,24.8050247,-0.101976601,0.100314571,-0.00123056661,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,1,1,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00327773021,0.00184269847,0.03,0.00305162037,0.14357762,0.143550659,0.131729602,0,0,6.76099182,1.12683197,-0.00305163145,0.03,-0.00130360871,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,1,0.8,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00327773021,0.00184269847,0.03,0.00305162037,0.14357762,0.143550659,0.131729602,0,0,6.76099182,1.12683197,-0.00305163145,0.03,-0.00130360871,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,1,1,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00249557576,0.000842719359,0.03,0.00147588869,0.158987597,0.159018311,0.14435148,0,0,10.7368566,1.7894761,-0.0014759271,0.03,-0.000404764854,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,1,0.8,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00249557576,0.000842719359,0.03,0.00147588869,0.158987597,0.159018311,0.14435148,0,0,10.7368566,1.7894761,-0.0014759271,0.03,-0.000404764854,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,1,1,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,12000,10000,0.00170346478,0.00184533609,0.00319446592,0.00319446592,0.163798049,0.163767151,0.151161895,0,0,6.77713788,1.12952298,-0.102651682,0.0998415725,-0.00125430559,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,1,0.8,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,12000,10000,0.00170346478,0.00184533609,0.00319446592,0.00319446592,0.163798049,0.163767151,0.151161895,0,0,6.77713788,1.12952298,-0.102651682,0.0998415725,-0.00125430559,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,2000,1,1,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,12000,10000,0.00078890972,0.000844134345,0.0027274273,0.00155210006,0.192709282,0.192667236,0.172772078,0,0,10.8637185,1.81061975,-0.101125703,0.0999233211,-0.000391694413,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,2000,1,0.8,0.00608000833333,0.00608000833333,0.0567733509171,0.999970092773,PASS,OK,12000,10000,0.00078890972,0.000844134345,0.0027274273,0.00155210006,0.192709282,0.192667236,0.172772078,0,0,10.8637185,1.81061975,-0.101125703,0.0999233211,-0.000391694413,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00340793128,0.00184760183,0.03,0.00305564728,0.143594235,0.143550659,0.135581379,0,0,4.47354327,0.745590546,-0.00305564728,0.03,-0.0013042623,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,2000,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00340793128,0.00184760183,0.03,0.00305564728,0.143594235,0.143550659,0.135581379,0,0,4.47354327,0.745590546,-0.00305564728,0.03,-0.0013042623,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,2,1,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00273459586,0.000843980542,0.03,0.00144610185,0.15900594,0.159018311,0.14897658,0,0,6.86560199,1.144267,-0.00144610634,0.03,-0.000422931711,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,2000,2,0.8,0.00608000833333,0.0121600166667,0.0499999998421,0.999970092773,PASS,OK,12000,10000,0.00273459586,0.000843980542,0.03,0.00144610185,0.15900594,0.159018311,0.14897658,0,0,6.86560199,1.144267,-0.00144610634,0.03,-0.000422931711,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,12000,10000,0.00176095859,0.00185561349,0.00500201399,0.00324616924,0.163821355,0.163767151,0.155940258,0,0,4.46187469,0.743645782,-0.103045832,0.100201599,-0.00135134761,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,2000,2,0.8,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,12000,10000,0.00176095859,0.00185561349,0.00500201399,0.00324616924,0.163821355,0.163767151,0.155940258,0,0,4.46187469,0.743645782,-0.103045832,0.100201599,-0.00135134761,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,2000,2,1,0.00608000833333,0.0121600166667,0.0621132651254,0.999970092773,PASS,OK,12000,10000,0.000845726244,0.000847301642,0.00446472299,0.00152642681,0.192769751,0.192802917,0.179661958,0,0,6.8835119,1.14725198,-0.101282783,0.100103406,-0.000429912885,-0.5,0.5,0,0
